word,level,count,levels
go,,2,"basic-sentences/adults-beginner,greetings/adults-beginner"
have,,1,greetings/adults-beginner
know,,1,basic-sentences/adults-beginner
like,,1,basic-sentences/adults-beginner
live,,1,greetings/adults-beginner
look,,2,"basic-sentences/adults-beginner,in-the-bathroom/adults-beginner"
meet,,1,greetings/adults-beginner
need,,1,greetings/adults-beginner
see,,1,greetings/adults-beginner
take,,2,"greetings/adults-beginner,in-the-bathroom/adults-beginner"
get,,1,waking-up/adults-beginner
open,,1,waking-up/adults-beginner
sleep,,1,waking-up/adults-beginner
make,,1,in-the-bedroom/adults-beginner
clean,,1,in-the-bathroom/adults-beginner
use,,1,in-the-bathroom/adults-beginner
wash,,1,in-the-bathroom/adults-beginner
ask,,0,
build,,0,
buy,,0,
carry,,0,
change,,0,
choose,,0,
close,,0,
come,,0,
cook,,0,
cry,,0,
cut,,0,
do,,0,
drink,,0,
drive,,0,
eat,,0,
find,,0,
finish,,0,
fly,,0,
grow,,0,
help,,0,
hold,,0,
jump,,0,
laugh,,0,
learn,,0,
leave,,0,
pay,,0,
put,,0,
read,,0,
run,,0,
show,,0,
sing,,0,
sit,,0,
smile,,0,
speak,,0,
stop,,0,
swim,,0,
talk,,0,
try,,0,
watch,,0,
work,,0,
write,,0,
bring,,0,
walk,,0,
play,,0,
call,,0,
begin,,0,
give,,0,
become,,0,
want,,0,
let,,0,
think,,0,
tell,,0,
believe,,0,
hear,,0,
accept,,0,
say,,0,
