word,level,count,levels
when,A1,1,basic-sentences/adults-beginner
where,A1,1,greetings/adults-beginner
before,A2,1,waking-up/adults-beginner
like,A2,1,basic-sentences/adults-beginner
after,A1,0,
and,A1,0,
as,A1,0,
because,A1,0,
but,A1,0,
if,A1,0,
or,A1,0,
since,A1,0,
that,A1,0,
though,A1,0,
until,A1,0,
whether,A1,0,
while,A1,0,
although,A2,0,
even,A2,0,
except,A2,0,
nor,A2,0,
once,A2,0,
rather,A2,0,
unless,A2,0,
and/or,B1,0,
considering,B1,0,
given,B1,0,
provided,B1,0,
till,B1,0,
whereas,B1,0,
