word,level,count,levels
bed,,1,in-the-bedroom/adults-beginner
day,,1,greetings/adults-beginner
dream,,1,in-the-bedroom/adults-beginner
friend,,1,basic-sentences/adults-beginner
hair,,1,in-the-bathroom/adults-beginner
light,,1,in-the-bedroom/adults-beginner
morning,,1,greetings/adults-beginner
name,,1,greetings/adults-beginner
need,,1,greetings/adults-beginner
night,,1,waking-up/adults-beginner
problem,,1,basic-sentences/adults-beginner
sister,,1,basic-sentences/adults-beginner
sleep,,1,waking-up/adults-beginner
thanks,,1,greetings/adults-beginner
time,,2,"basic-sentences/adults-beginner,greetings/adults-beginner"
today,,1,waking-up/adults-beginner
tomorrow,,1,waking-up/adults-beginner
turn,,1,in-the-bedroom/adults-beginner
use,,1,in-the-bathroom/adults-beginner
ability,,0,
access,,0,
account,,0,
activity,,0,
adult,,0,
advantage,,0,
advice,,0,
afternoon,,0,
age,,0,
air,,0,
air force,,0,
amount,,0,
animal,,0,
answer,,0,
applause,,0,
area,,0,
argument,,0,
arm,,0,
army,,0,
art,,0,
attack,,0,
attention,,0,
audience,,0,
baby,,0,
back,,0,
background,,0,
bag,,0,
ball,,0,
bank,,0,
bar,,0,
battery,,0,
battle,,0,
beginning,,0,
behavior,,0,
belief,,0,
benefit,,0,
bird,,0,
bit,,0,
blindness,,0,
blood,,0,
body,,0,
bone,,0,
book,,0,
boss,,0,
bottom,,0,
box,,0,
boy,,0,
brain,,0,
brand,,0,
break,,0,
brother,,0,
building,,0,
bunch,,0,
business,,0,
button,,0,
cake,,0,
call,,0,
camera,,0,
campaign,,0,
cancer,,0,
car,,0,
career,,0,
case,,0,
cause,,0,
cell,,0,
center,,0,
century,,0,
challenge,,0,
chance,,0,
change,,0,
channel,,0,
charge,,0,
check,,0,
cheese,,0,
child,,0,
chocolate,,0,
choice,,0,
city,,0,
class,,0,
client,,0,
coffee,,0,
college,,0,
color,,0,
comment,,0,
community,,0,
company,,0,
computer,,0,
condition,,0,
connection,,0,
content,,0,
continent,,0,
conversation,,0,
corner,,0,
cost,,0,
country,,0,
couple,,0,
course,,0,
court,,0,
crime,,0,
culture,,0,
cup,,0,
customer,,0,
dad,,0,
damage,,0,
data,,0,
date,,0,
daughter,,0,
deal,,0,
death,,0,
decade,,0,
decision,,0,
degree,,0,
detail,,0,
development,,0,
device,,0,
diet,,0,
difference,,0,
disease,,0,
distance,,0,
document,,0,
dollar,,0,
door,,0,
drug,,0,
dude,,0,
ear,,0,
Earth,,0,
economy,,0,
edge,,0,
education,,0,
effect,,0,
effort,,0,
egg,,0,
election,,0,
element,,0,
email,,0,
emotion,,0,
end,,0,
enemy,,0,
energy,,0,
engine,,0,
environment,,0,
evening,,0,
event,,0,
evidence,,0,
example,,0,
experience,,0,
experiment,,0,
expert,,0,
eye,,0,
face,,0,
fact,,0,
factor,,0,
family,,0,
fan,,0,
father,,0,
fear,,0,
feature,,0,
feeling,,0,
field,,0,
fight,,0,
file,,0,
finger,,0,
fish,,0,
flavor,,0,
floor,,0,
food,,0,
foot,,0,
force,,0,
foreground,,0,
form,,0,
freedom,,0,
front,,0,
fruit,,0,
fun,,0,
function,,0,
future,,0,
game,,0,
gas,,0,
generation,,0,
girl,,0,
glass,,0,
goal,,0,
gold,,0,
government,,0,
ground,,0,
group,,0,
growth,,0,
gun,,0,
guy,,0,
habit,,0,
half,,0,
hand,,0,
head,,0,
health,,0,
hearing,,0,
heart,,0,
heat,,0,
help,,0,
history,,0,
hole,,0,
home,,0,
hope,,0,
hospital,,0,
hour,,0,
house,,0,
human,,0,
husband,,0,
ice,,0,
idea,,0,
image,,0,
impact,,0,
income,,0,
individual,,0,
industry,,0,
information,,0,
instance,,0,
investment,,0,
issue,,0,
item,,0,
job,,0,
joke,,0,
justice,,0,
key,,0,
kid,,0,
king,,0,
knowledge,,0,
lady,,0,
land,,0,
language,,0,
laughter,,0,
law,,0,
layer,,0,
leader,,0,
leg,,0,
lesson,,0,
letter,,0,
level,,0,
life,,0,
line,,0,
list,,0,
location,,0,
loss,,0,
love,,0,
machine,,0,
man,,0,
market,,0,
material,,0,
matter,,0,
meal,,0,
meat,,0,
meeting,,0,
member,,0,
memory,,0,
message,,0,
metal,,0,
method,,0,
middle,,0,
mile,,0,
milk,,0,
mind,,0,
minute,,0,
mission,,0,
mistake,,0,
mom,,0,
moment,,0,
money,,0,
month,,0,
moon,,0,
mother,,0,
movie,,0,
muscle,,0,
music,,0,
narrator,,0,
nation,,0,
nature,,0,
navy,,0,
network,,0,
news,,0,
noise,,0,
noon,,0,
note,,0,
number,,0,
object,,0,
office,,0,
oil,,0,
opinion,,0,
opportunity,,0,
option,,0,
order,,0,
organization,,0,
page,,0,
pain,,0,
paper,,0,
parent,,0,
part,,0,
partner,,0,
party,,0,
path,,0,
patient,,0,
pattern,,0,
peace,,0,
people,,0,
performance,,0,
period,,0,
person,,0,
perspective,,0,
phone,,0,
photograph,,0,
