word,level,count,levels
about,A1,1,greetings/adults-beginner
at,A1,1,basic-sentences/adults-beginner
before,A1,1,waking-up/adults-beginner
for,A1,1,basic-sentences/adults-beginner
from,A1,1,greetings/adults-beginner
in,A1,2,"in-the-bathroom/adults-beginner,waking-up/adults-beginner"
like,A1,1,basic-sentences/adults-beginner
off,A1,1,in-the-bedroom/adults-beginner
on,A1,1,in-the-bedroom/adults-beginner
up,A1,1,waking-up/adults-beginner
with,A1,1,basic-sentences/adults-beginner
down,A2,1,in-the-bedroom/adults-beginner
next,A2,1,greetings/adults-beginner
across,A1,0,
after,A1,0,
against,A1,0,
along,A1,0,
among,A1,0,
around,A1,0,
as,A1,0,
away,A1,0,
behind,A1,0,
between,A1,0,
beyond,A1,0,
by,A1,0,
despite,A1,0,
during,A1,0,
including,A1,0,
into,A1,0,
near,A1,0,
of,A1,0,
out,A1,0,
over,A1,0,
per,A1,0,
through,A1,0,
to,A1,0,
toward,A1,0,
under,A1,0,
upon,A1,0,
within,A1,0,
without,A1,0,
above,A2,0,
but,A2,0,
due,A2,0,
except,A2,0,
inside,A2,0,
instead,A2,0,
onto,A2,0,
outside,A2,0,
past,A2,0,
plus,A2,0,
rather,A2,0,
regarding,A2,0,
since,A2,0,
throughout,A2,0,
towards,A2,0,
until,A2,0,
via,A2,0,
worth,A2,0,
ahead,B1,0,
alongside,B1,0,
amid,B1,0,
apart,B1,0,
below,B1,0,
beneath,B1,0,
beside,B1,0,
besides,B1,0,
concerning,B1,0,
prior,B1,0,
till,B1,0,
top,B1,0,
unlike,B1,0,
versus,B1,0,
vs,B1,0,
