Template,Count in level
AppearDisappear,0
ClozeSequence,0
ConvoTemplate-1,0
DialogueCompletion,0
GrammarForm,0
imageQuizTemplate-1,12
imageQuizTemplate-2,4
SentenceBuilder,0
WordPairs,0

#,Template,Line 1 / Prompt,Line 2,Answer,English (translate),Audio
1,imageQuizTemplate-1,image: bee,,bee,,
2,imageQuizTemplate-1,image: bull,,bull,,
3,imageQuizTemplate-2,image: cow,,cow,,
4,imageQuizTemplate-1,image: cat,,cat,,
5,imageQuizTemplate-1,image: chicken,,chicken,,
6,imageQuizTemplate-1,image: dog,,dog,,
7,imageQuizTemplate-2,image: horse,,horse,,
8,imageQuizTemplate-1,image: donkey,,donkey,,
9,imageQuizTemplate-1,image: duck,,duck,,
10,imageQuizTemplate-1,image: goat,,goat,,
11,imageQuizTemplate-2,image: pig,,pig,,
12,imageQuizTemplate-1,image: goose,,goose,,
13,imageQuizTemplate-1,image: rabbit,,rabbit,,
14,imageQuizTemplate-1,image: rooster,,rooster,,
15,imageQuizTemplate-2,image: sheep,,sheep,,
16,imageQuizTemplate-1,image: turkey,,turkey,,
