word,word_type,count
to,,53
i,,41
the,,35
you,,33
is,,29
are,,18
a,,16
am,,15
do,,14
my,,14
your,,11
what,,8
where,,8
yes,,8
bed,,7
it,,7
we,,7
good,,6
how,,6
name,,6
not,,6
on,,6
up,,6
and,,5
get,,5
have,,5
please,,5
this,,5
turn,,5
who,,5
can,,4
for,,4
it's,,4
john,,4
me,,4
no,,4
old,,4
peel,,4
room,,4
table,,4
teacher,,4
too,,4
use,,4
10,,3
at,,3
bake,,3
breakfast,,3
bus,,3
carefully,,3
close,,3
cook,,3
did,,3
dishes,,3
dream,,3
eyes,,3
from,,3
hello,,3
here,,3
hot,,3
in,,3
light,,3
like,,3
listen,,3
need,,3
off,,3
open,,3
pour,,3
see,,3
she,,3
shower,,3
sleep,,3
take,,3
thank,,3
time,,3
together,,3
very,,3
wake,,3
wash,,3
when,,3
alex,,2
aren't,,2
banana,,2
bathroom,,2
before,,2
best,,2
brush,,2
but,,2
buy,,2
clean,,2
coffee,,2
comb,,2
comfortable,,2
curtains,,2
dark,,2
day,,2
dinner,,2
dirty,,2
don't,,2
down,,2
dry,,2
early,,2
eat,,2
eggs,,2
fine,,2
friend,,2
hair,,2
hands,,2
he,,2
keys,,2
let,,2
lie,,2
likes,,2
make,,2
meet,,2
milk,,2
morning,,2
much,,2
near,,2
night,,2
now,,2
of,,2
out,,2
pillow,,2
popcorn,,2
s,,2
salty,,2
say,,2
shop,,2
sit,,2
sleepy,,2
tea,,2
teeth,,2
there,,2
these,,2
they,,2
tidy,,2
towel,,2
tv,,2
wet,,2
after,,1
afternoon,,1
alarm,,1
another,,1
arms,,1
beth,,1
blanket,,1
blueberry,,1
boil,,1
books,,1
bread,,1
bright,,1
brown,,1
checkout,,1
chess,,1
clock,,1
cold,,1
costs,,1
cozy,,1
daily,,1
doctor,,1
dog,,1
doing,,1
dollars,,1
don,,1
drink,,1
evening,,1
every,,1
everything,,1
excuse,,1
expensive,,1
face,,1
family,,1
find,,1
floor,,1
forget,,1
fresh,,1
friends,,1
frozen,,1
getting,,1
go,,1
going,,1
great,,1
grocery,,1
guests,,1
having,,1
help,,1
her,,1
hi,,1
hygiene,,1
i'd,,1
i'll,,1
i'm,,1
keep,,1
know,,1
lamp,,1
last,,1
later,,1
laundry-basket,,1
legs,,1
library,,1
living,,1
ll,,1
love,,1
m,,1
maintain,,1
many,,1
mike,,1
miss,,1
mix,,1
mom,,1
mrs,,1
muffins,,1
nice,,1
nightstand,,1
o'clock,,1
okay,,1
omar,,1
pajamas,,1
pencil,,1
people,,1
pet,,1
play,,1
put,,1
question,,1
rain,,1
read,,1
ready,,1
really,,1
remote,,1
rest,,1
saturday,,1
school,,1
scotland,,1
scrambled,,1
slept,,1
small,,1
so,,1
sofa,,1
some,,1
states,,1
store,,1
stretch,,1
stronger,,1
student,,1
sunrise,,1
sunshine,,1
sure,,1
sweet,,1
t,,1
their,,1
them,,1
tired,,1
twice,,1
united,,1
usually,,1
walk,,1
want,,1
wants,,1
was,,1
washes,,1
watch,,1
watches,,1
watching,,1
welcome,,1
well,,1
wipe,,1
would,,1
years,,1
yet,,1
