word,word_type,count
to,,46
i,,16
the,,16
is,,15
am,,13
are,,10
a,,9
my,,9
you,,7
it,,5
not,,5
turn,,5
up,,5
bed,,4
do,,4
get,,4
good,,4
name,,4
use,,4
we,,4
where,,4
and,,3
bake,,3
carefully,,3
close,,3
cook,,3
dishes,,3
dream,,3
have,,3
how,,3
like,,3
listen,,3
no,,3
off,,3
old,,3
on,,3
open,,3
see,,3
too,,3
wake,,3
wash,,3
what,,3
who,,3
yes,,3
10,,2
breakfast,,2
brush,,2
buy,,2
clean,,2
comb,,2
down,,2
dry,,2
early,,2
eat,,2
eyes,,2
fine,,2
for,,2
from,,2
hair,,2
hot,,2
lie,,2
light,,2
make,,2
me,,2
meet,,2
milk,,2
need,,2
peel,,2
popcorn,,2
pour,,2
salty,,2
shop,,2
shower,,2
sit,,2
sleepy,,2
take,,2
teeth,,2
there,,2
this,,2
together,,2
towel,,2
your,,2
afternoon,,1
alarm,,1
alex,,1
aren't,,1
bathroom,,1
blanket,,1
blueberry,,1
boil,,1
books,,1
bread,,1
can,,1
checkout,,1
chess,,1
clock,,1
coffee,,1
cold,,1
comfortable,,1
costs,,1
cozy,,1
curtains,,1
daily,,1
dark,,1
day,,1
dirty,,1
dog,,1
dollars,,1
don,,1
don't,,1
evening,,1
expensive,,1
face,,1
family,,1
find,,1
forget,,1
fresh,,1
frozen,,1
great,,1
hands,,1
having,,1
here,,1
hi,,1
hygiene,,1
in,,1
john,,1
keys,,1
know,,1
later,,1
laundry-basket,,1
library,,1
many,,1
mike,,1
miss,,1
mix,,1
mom,,1
morning,,1
much,,1
muffins,,1
nice,,1
night,,1
nightstand,,1
now,,1
of,,1
okay,,1
out,,1
pencil,,1
pillow,,1
play,,1
read,,1
rest,,1
say,,1
she,,1
small,,1
states,,1
stretch,,1
student,,1
sunrise,,1
sweet,,1
t,,1
table,,1
teacher,,1
these,,1
they,,1
tidy,,1
time,,1
tired,,1
tv,,1
twice,,1
united,,1
very,,1
wants,,1
was,,1
washes,,1
watch,,1
watches,,1
watching,,1
welcome,,1
well,,1
wet,,1
wipe,,1
would,,1
years,,1
