Template,Count in level
AppearDisappear,0
ClozeSequence,0
ConvoTemplate-1,0
DialogueCompletion,0
GrammarForm,0
imageQuizTemplate-1,11
imageQuizTemplate-2,3
SentenceBuilder,0
WordPairs,0

#,Template,Line 1 / Prompt,Line 2,Answer,English (translate),Audio
1,imageQuizTemplate-1,image: condiments,,condiments,,
2,imageQuizTemplate-1,image: fries,,fries,,
3,imageQuizTemplate-2,image: glass-of-water,,glass-of-water,,
4,imageQuizTemplate-1,image: ice-cube,,ice cube,,
5,imageQuizTemplate-1,image: jug-pitcher,,pitcher,,
6,imageQuizTemplate-1,image: napkin,,napkin,,
7,imageQuizTemplate-1,image: pepper,,pepper,,
8,imageQuizTemplate-2,image: salt-shaker,,salt-shaker,,
9,imageQuizTemplate-1,image: soda-can,,soda can,,
10,imageQuizTemplate-2,image: soup-bowl,,soup-bowl,,
11,imageQuizTemplate-1,image: straw,,straw,,
12,imageQuizTemplate-1,image: take-out-box,,take out box,,
13,imageQuizTemplate-1,image: tip-jar,,tip jar,,
14,imageQuizTemplate-1,image: toothpick,,toothpick,,
