word,level,count,levels
afraid,A1,1,at-the-dentist
amazing,A1,1,at-the-hotel
angry,A1,2,"at-the-airport,emotions-1"
bad,A1,2,"at-the-pharmacy,basic-sentences"
beautiful,A1,1,at-the-park
best,A1,1,verb-to-be
better,A1,1,at-the-pharmacy
big,A1,2,"birthday-party,nature-walk"
brave,A1,1,emotions-1
broken,A1,1,at-garage-gas station
busy,A1,1,at-the-traffic
calm,A1,1,nature-walk
cheap,A1,1,at-the-farmers-market
clean,A1,1,bedroom
closed,A1,2,"at-garage-gas station,at-the-library"
cold,A1,1,bathroom
complete,A1,1,at-the-post-office
cool,A1,1,medley-2
correct,A1,1,at-the-post-office
dangerous,A1,1,at-the-traffic
dark,A1,1,bedroom
different,A1,1,at-the-pharmacy
difficult,A1,1,at-the-school
dirty,A1,1,bathroom
down,A1,3,"at-the-traffic,living-room,prepositions"
dry,A1,1,bathroom
early,A1,1,waking-up
easy,A1,1,at-the-school
empty,A1,1,grocery-shopping
excited,A1,1,at-the-airport
expensive,A1,1,grocery-shopping
false,A1,1,at-the-dentist
far,A1,1,city-walk
free,A1,1,at-the-farmers-market
fresh,A1,1,at-the-farmers-market
friendly,A1,1,medley-2
front,A1,1,prepositions
full,A1,2,"at-the-restaurant,grocery-shopping"
funny,A1,1,at-the-cinema
good,A1,1,verb-to-be
great,A1,1,living-room
happy,A1,3,"at-the-dentist,birthday-party,emotions-1"
hard,A1,1,baby-care
healthy,A1,1,emotions-2
heavy,A1,1,grocery-shopping
helpful,A1,1,at-the-hotel
high,A1,1,at-the-hospital
hot,A1,1,bathroom
hungry,A1,3,"at-the-airport,emotions-1,kitchen"
important,A1,1,at-the-post-office
inside,A1,1,city-walk
interesting,A1,1,at-the-school
kind,A1,2,"at-the-dentist,at-the-park"
large,A1,1,at-the-bank
late,A1,1,at-the-airport
left,A1,1,city-walk
light,A1,2,"bedroom,grocery-shopping"
little,A1,1,at-the-pharmacy
long,A1,2,"at-the-airport,at-the-library"
loud,A1,1,baby-care
main,A1,1,at-the-restaurant
near,A1,2,"city-walk,prepositions"
new,A1,1,grocery-shopping
nice,A1,2,"clothes-shopping,greetings"
noisy,A1,1,at-the-hotel
old,A1,1,greetings
only,A1,1,at-the-farmers-market
open,A1,2,"at-the-bank,waking-up"
other,A1,1,at-the-train-station
outside,A1,1,city-walk
past,A1,1,going-to-sports
perfect,A1,1,clothes-shopping
polite,A1,1,at-the-farmers-market
poor,A1,1,clothes-shopping
possible,A1,1,at-the-train-station
present,A1,1,going-to-sports
pretty,A1,1,baby-care
quiet,A1,2,"at-the-library,nature-walk"
ready,A1,1,verb-to-be
rich,A1,1,clothes-shopping
right,A1,1,at-the-school
sad,A1,3,"at-the-airport,at-the-dentist,emotions-1"
safe,A1,1,at-the-pharmacy
salty,A1,1,at-the-restaurant
same,A1,1,at-the-pharmacy
scared,A1,1,emotions-2
short,A1,2,"at-the-library,emergency-situations"
sick,A1,1,at-the-hospital
silent,A1,1,at-the-library
similar,A1,1,at-the-pharmacy
sleepy,A1,1,waking-up
slow,A1,1,at-the-traffic
small,A1,1,birthday-party
smart,A1,1,at-the-office
sorry,A1,1,emotions-2
sour,A1,1,at-the-restaurant
special,A1,1,birthday-party
strong,A1,1,at-the-hospital
sure,A1,1,at-the-office
surprised,A1,1,emotions-2
sweet,A1,1,at-the-restaurant
terrible,A1,1,emergency-situations
thirsty,A1,2,"emotions-2,kitchen"
tired,A1,1,city-walk
true,A1,1,at-the-dentist
ugly,A1,1,clothes-shopping
up,A1,3,"at-garage-gas station,prepositions,waking-up"
useful,A1,1,medley-1
warm,A1,1,medley-2
weak,A1,1,at-the-hospital
wet,A1,1,bathroom
wonderful,A1,1,city-walk
wrong,A1,1,at-the-school
young,A1,1,clothes-shopping
all,A2,1,bedroom
alone,A2,1,emotions-1
available,A2,1,at-the-office
awful,A2,1,at-the-cinema
boring,A2,1,at-the-library
bottom,A2,1,at-the-farm
careful,A2,1,at-the-hospital
certain,A2,1,medley-3
clear,A2,1,at-the-hotel
close,A2,1,living-room
comfortable,A2,2,"bedroom,living-room"
crowded,A2,1,medley-2
daily,A2,1,at-the-farm
deep,A2,1,nature-walk
delicious,A2,1,at-the-restaurant
everyday,A2,1,at-the-park
fair,A2,1,medley-3
fun,A2,2,"at-the-park,birthday-party"
future,A2,1,going-to-sports
huge,A2,1,medley-1
impossible,A2,2,"at-garage-gas station,at-the-library"
lazy,A2,1,emotions-2
lonely,A2,1,emotions-2
low,A2,1,at-the-hospital
lucky,A2,1,going-to-sports
mean,A2,1,at-the-cinema
nervous,A2,1,emotions-1
recent,A2,1,going-to-sports
secret,A2,1,medley-3
serious,A2,1,at-garage-gas station
spicy,A2,1,at-the-restaurant
thick,A2,1,at-the-farm
thin,A2,1,at-the-farm
top,A2,1,at-the-farm
whole,A2,1,at-the-cinema
wide,A2,1,nature-walk
wild,A2,1,nature-walk
equal,B1,1,medley-3
familiar,B1,1,at-the-cinema
honest,B1,1,medley-4
proud,B1,1,emotions-2
bright,A1,0,
fast,A1,0,
fine,A1,0,
quick,A1,0,
real,A1,0,
rude,A1,0,
tall,A1,0,
unhealthy,A1,0,
worried,A1,0,
active,A2,0,
ancient,A2,0,
asleep,A2,0,
assistant,A2,0,
attractive,A2,0,
brilliant,A2,0,
classical,A2,0,
confusing,A2,0,
connected,A2,0,
crazy,A2,0,
creative,A2,0,
excellent,A2,0,
independent,A2,0,
jealous,A2,0,
just,A2,0,
likely,A2,0,
male,A2,0,
middle,A2,0,
necessary,A2,0,
regular,A2,0,
simple,A2,0,
specific,A2,0,
strange,A2,0,
successful,A2,0,
tasty,A2,0,
traditional,A2,0,
valuable,A2,0,
worthless,A2,0,
academic,B1,0,
aware,B1,0,
current,B1,0,
essential,B1,0,
glad,B1,0,
historical,B1,0,
illegal,B1,0,
involved,B1,0,
obvious,B1,0,
powerful,B1,0,
previous,B1,0,
primary,B1,0,
proper,B1,0,
rare,B1,0,
responsible,B1,0,
scientific,B1,0,
standard,B1,0,
tiny,B1,0,
actual,B2,0,
appropriate,B2,0,
initial,B2,0,
limited,B2,0,
unique,B2,0,
