word,level,count,levels
be,A1,0,
am,A1,2,"implemented/greetings,implemented/verb-to-be"
are,A1,3,"implemented/basic-sentences,implemented/greetings,implemented/verb-to-be"
is,A1,4,"implemented/basic-sentences,implemented/greetings,implemented/living-room,implemented/verb-to-be"
was,A1,0,
were,A1,0,
have,A1,1,implemented/basic-sentences
has,A1,0,
had,A2,0,
do,A1,2,"implemented/at-the-school,implemented/kitchen"
does,A1,0,
did,A1,0,
can,A1,1,implemented/at-the-school
will,A1,0,
would,A2,1,implemented/basic-sentences
could,A2,0,
should,A2,0,
may,A2,0,
might,A2,0,
must,A1,0,
shall,B1,0,
