word,level,count,levels
ask,,1,at-the-school
build,,1,at-the-farm
buy,,1,grocery-shopping
carry,,1,grocery-shopping
change,,1,baby-care
choose,,1,grocery-shopping
clean,,2,"at-the-dentist,in-the-bathroom"
close,,1,living-room
come,,3,"common-words-2,common-words-4,walking-in-the-city"
cook,,1,in-the-kitchen
cry,,1,baby-care
cut,,1,in-the-kitchen
do,,2,"at-the-school,in-the-kitchen"
drink,,1,in-the-kitchen
drive,,1,at-the-traffic
eat,,1,in-the-kitchen
find,,1,at-the-library
finish,,1,at-the-office
fly,,1,at-the-airport
get,,4,"at-the-library,at-the-train-station,common-words-4,waking-up"
go,,4,"at-the-cinema,basic-sentences,common-words-2,common-words-4"
grow,,1,at-the-farm
have,,2,"greetings/adults,greetings/kids"
help,,1,at-the-library
hold,,1,baby-care
jump,,1,at-the-park
know,,2,"at-the-school,basic-sentences"
laugh,,1,baby-care
learn,,1,at-the-school
leave,,1,walking-in-the-city
like,,1,basic-sentences
live,,1,walking-in-the-city
look,,3,"clothes-shopping,in-the-bathroom,walking-in-the-city"
make,,1,in-the-bedroom
meet,,2,"greetings/adults,greetings/kids"
need,,1,baby-care
open,,3,"at-the-bank,at-the-dentist,waking-up"
pay,,1,grocery-shopping
put,,2,"at-the-train-station,common-words-3"
read,,1,at-the-school
run,,1,at-the-park
say,,1,basic-sentences
see,,3,"greetings/adults,greetings/kids,walking-in-the-city"
show,,1,at-the-library
sing,,1,birthday-party
sit,,2,"common-words-4,living-room"
sleep,,1,waking-up
smile,,1,baby-care
speak,,1,at-the-hotel
stop,,1,at-the-traffic
swim,,1,going-to-sports
take,,2,"at-the-airport,in-the-bathroom"
talk,,1,living-room
try,,1,clothes-shopping
use,,1,in-the-bathroom
wash,,1,in-the-bathroom
watch,,1,at-the-cinema
work,,1,at-the-office
write,,1,at-the-school
bring,,1,at-the-hotel
walk,,1,walking-in-the-city
play,,1,going-to-sports
call,,1,emergency-situations
begin,,1,common-words-1
give,,1,common-words-1
become,,1,common-words-1
want,,1,common-words-1
let,,1,common-words-1
think,,1,common-words-1
tell,,1,common-words-1
believe,,1,common-words-2
hear,,1,common-words-2
accept,,1,common-words-9
