word,level,count,levels
whether,A1,0,
although,A2,0,
even,A2,0,
except,A2,0,
nor,A2,0,
rather,A2,0,
unless,A2,0,
considering,B1,0,
given,B1,0,
provided,B1,0,
till,B1,0,
whereas,B1,0,
after,A1,3,"at-the-bank,at-the-train-station,bathroom"
and,A1,1,waking-up
as,A1,1,at-the-train-station
because,A1,1,at-the-traffic
but,A1,1,at-the-traffic
if,A1,1,at-the-bank
or,A1,1,at-the-traffic
since,A1,1,at-the-train-station
that,A1,1,basic-sentences
though,A1,1,at-the-bank
until,A1,1,at-the-train-station
when,A1,1,basic-sentences
where,A1,1,greetings
while,A1,2,"at-the-park,at-the-train-station"
before,A2,3,"at-the-traffic,bathroom,grocery-shopping"
like,A2,1,basic-sentences
once,A2,1,at-the-park
and/or,B1,2,"at-the-traffic,waking-up"
