word,level,count,levels
account,,1,at-the-bank
answer,,1,at-the-school
attack,,1,common-words-12
audience,,1,at-the-cinema
back,,2,"common-words-2,common-words-5"
bed,,1,in-the-bedroom
book,,1,at-the-cinema
bottom,,1,at-the-farm
boy,,1,family
brand,,1,grocery-shopping
break,,1,at-the-post-office
brother,,1,family
call,,1,emergency-situations
cause,,1,common-words-6
change,,1,baby-care
check,,2,"at-the-hospital,at-the-hotel"
city,,1,walking-in-the-city
corner,,1,walking-in-the-city
cost,,1,at-the-post-office
customer,,1,at-the-farmers-market
damage,,1,at-the-garage
daughter,,1,family
day,,3,"at-the-office,at-the-park,greetings"
deal,,1,common-words-7
dream,,1,in-the-bedroom
end,,1,common-words-2
family,,1,family
father,,1,family
fight,,1,common-words-8
form,,1,at-the-bank
friend,,1,verb-to-be
front,,1,prepositions
fun,,1,birthday-party
future,,1,going-to-sports
hair,,1,in-the-bathroom
heat,,1,at-the-restaurant
help,,1,at-the-library
hope,,1,common-words-3
hospital,,1,at-the-hospital
house,,1,walking-in-the-city
husband,,1,family
item,,1,clothes-shopping
land,,1,at-the-airport
light,,2,"grocery-shopping,in-the-bedroom"
line,,2,"at-the-park,at-the-train-station"
love,,1,clothes-shopping
man,,1,family
matter,,1,common-words-7
meeting,,1,at-the-office
mind,,1,common-words-7
mistake,,1,clothes-shopping
money,,1,at-the-bank
month,,1,at-the-office
morning,,1,greetings
mother,,1,family
movie,,1,at-the-cinema
name,,1,greetings
need,,1,baby-care
number,,1,at-the-post-office
order,,1,at-the-restaurant
pain,,1,at-the-hospital
place,,1,common-words-10
plan,,1,at-the-office
plant,,1,at-the-farm
point,,1,common-words-10
practice,,1,going-to-sports
price,,2,"at-the-farmers-market,at-the-garage"
question,,1,at-the-school
race,,1,going-to-sports
record,,1,common-words-9
report,,1,common-words-6
right,,1,at-the-school
room,,1,clothes-shopping
sale,,1,at-the-farmers-market
show,,1,at-the-library
sister,,1,family
sleep,,1,waking-up
son,,1,family
sound,,1,common-words-3
speed,,1,at-the-traffic
support,,1,emergency-situations
table,,1,in-the-kitchen
talk,,1,living-room
team,,1,going-to-sports
temperature,,1,at-the-hospital
thanks,,1,greetings
time,,2,"at-the-airport,basic-sentences"
today,,1,waking-up
tomorrow,,2,"at-the-train-station,waking-up"
tonight,,1,at-the-cinema
top,,1,at-the-farm
turn,,3,"at-the-traffic,in-the-bedroom,walking-in-the-city"
use,,1,in-the-bathroom
vote,,1,common-words-9
wave,,1,living-room
week,,3,"at-the-office,at-the-park,at-the-train-station"
weight,,1,grocery-shopping
while,,2,"at-the-park,at-the-train-station"
wife,,1,family
woman,,1,family
work,,1,at-the-office
year,,1,at-the-office
ability,,0,
access,,0,
activity,,0,
adult,,0,
advantage,,0,
advice,,0,
afternoon,,0,
age,,0,
air,,0,
air force,,0,
amount,,0,
animal,,0,
applause,,0,
area,,0,
argument,,0,
arm,,0,
army,,0,
art,,0,
attention,,0,
baby,,0,
background,,0,
bag,,0,
ball,,0,
bank,,0,
bar,,0,
battery,,0,
battle,,0,
beginning,,0,
behavior,,0,
belief,,0,
benefit,,0,
bird,,0,
bit,,0,
blindness,,0,
blood,,0,
body,,0,
bone,,0,
boss,,0,
box,,0,
brain,,0,
building,,0,
bunch,,0,
business,,0,
button,,0,
cake,,0,
camera,,0,
campaign,,0,
cancer,,0,
car,,0,
career,,0,
case,,0,
cell,,0,
center,,0,
century,,0,
challenge,,0,
chance,,0,
channel,,0,
charge,,0,
cheese,,0,
child,,0,
chocolate,,0,
choice,,0,
class,,0,
client,,0,
coffee,,0,
college,,0,
color,,0,
comment,,0,
community,,0,
company,,0,
computer,,0,
condition,,0,
connection,,0,
content,,0,
continent,,0,
conversation,,0,
country,,0,
couple,,0,
course,,0,
court,,0,
crime,,0,
culture,,0,
cup,,0,
dad,,0,
data,,0,
date,,0,
death,,0,
decade,,0,
decision,,0,
degree,,0,
detail,,0,
development,,0,
device,,0,
diet,,0,
difference,,0,
disease,,0,
distance,,0,
document,,0,
dollar,,0,
door,,0,
drug,,0,
dude,,0,
ear,,0,
Earth,,0,
economy,,0,
edge,,0,
education,,0,
effect,,0,
effort,,0,
egg,,0,
election,,0,
element,,0,
email,,0,
emotion,,0,
enemy,,0,
energy,,0,
engine,,0,
environment,,0,
evening,,0,
event,,0,
evidence,,0,
example,,0,
experience,,0,
experiment,,0,
expert,,0,
eye,,0,
face,,0,
fact,,0,
factor,,0,
fan,,0,
fear,,0,
feature,,0,
feeling,,0,
field,,0,
file,,0,
finger,,0,
fish,,0,
flavor,,0,
floor,,0,
food,,0,
foot,,0,
force,,0,
foreground,,0,
freedom,,0,
fruit,,0,
function,,0,
game,,0,
gas,,0,
generation,,0,
girl,,0,
