word,level,count,levels
of,A1,2,"at-the-traffic,implemented/waking-up"
in,A1,1,at-the-traffic
to,A1,13,"at-the-bank,at-the-pharmacy,at-the-traffic,implemented/at-the-farmers-market,implemented/at-the-school,implemented/basic-sentences,implemented/bathroom,implemented/city-walk,implemented/greetings,implemented/grocery-shopping,implemented/kitchen,implemented/living-room,implemented/waking-up"
for,A1,0,
with,A1,0,
on,A1,2,"implemented/bedroom,implemented/living-room"
at,A1,0,
from,A1,2,"implemented/greetings,implemented/verb-to-be"
by,A1,0,
about,A1,0,
as,A1,0,
like,A1,1,implemented/basic-sentences
into,A1,0,
through,A1,0,
after,A1,1,at-the-bank
over,A1,0,
out,A1,2,"at-the-bank,implemented/waking-up"
between,A1,0,
against,A1,0,
without,A1,1,at-the-pharmacy
during,A1,0,
before,A1,1,at-the-traffic
under,A1,0,
around,A1,0,
among,A1,0,
off,A1,2,"implemented/bedroom,implemented/waking-up"
including,A1,0,
within,A1,0,
across,A1,0,
up,A1,1,implemented/waking-up
behind,A1,0,
along,A1,0,
toward,A1,0,
upon,A1,0,
per,A1,0,
away,A1,0,
despite,A1,0,
near,A1,0,
beyond,A1,0,
outside,A2,0,
since,A2,0,
instead,A2,0,
rather,A2,0,
above,A2,0,
inside,A2,0,
onto,A2,0,
throughout,A2,0,
down,A2,2,"at-the-traffic,implemented/living-room"
worth,A2,0,
due,A2,0,
until,A2,0,
towards,A2,0,
past,A2,0,
next,A2,0,
but,A2,2,"at-the-pharmacy,at-the-traffic"
via,A2,0,
plus,A2,0,
regarding,A2,0,
except,A2,0,
vs,B1,0,
below,B1,0,
beneath,B1,0,
beside,B1,0,
prior,B1,0,
ahead,B1,0,
top,B1,0,
unlike,B1,0,
versus,B1,0,
concerning,B1,0,
till,B1,0,
besides,B1,0,
alongside,B1,0,
amid,B1,0,
apart,B1,0,
